City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Tupelo,US,72.99,broken clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
4,Rikitea,PF,77.47,broken clouds,-23.1203,-134.9692,People ThankYou
5,Sucua,EC,80.76,light rain,-2.4667,-78.1667,Hotel Orellana
7,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
10,Namatanai,PG,79.34,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
13,Salalah,OM,81.14,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
16,Stroud,GB,66.16,scattered clouds,51.75,-2.2,The Bear of Rodborough
17,Newport,GB,66.31,broken clouds,51.5877,-2.9984,ibis budget Newport
26,Castro,BR,66.15,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
27,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Tonj,SS,81.72,overcast clouds,7.2737,28.6822,Lakan Hotel
31,Mar Del Plata,AR,73.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
34,Noumea,NC,75.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
36,Hilo,US,83.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
37,Atuona,PF,78.46,scattered clouds,-9.8,-139.0333,Villa Enata
42,Puerto Ayora,EC,75.29,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Kavaratti,IN,84.67,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
46,Iquique,CL,67.01,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
48,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
54,Isangel,VU,75.25,few clouds,-19.55,169.2667,Tanna Lodge
55,Vanimo,PG,78.55,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
57,Bengkulu,ID,76.33,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
58,San Quintin,MX,65.12,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
59,Sola,VU,81.59,clear sky,-13.8833,167.55,Leumerus Bungalows
61,Saverne,FR,69.93,overcast clouds,48.8333,7.25,Hôtel Aux deux Clefs
62,Newnan,US,68.83,overcast clouds,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
64,Touros,BR,77.54,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
65,Mae Sai,TH,73.26,scattered clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
66,Cidreira,BR,67.3,few clouds,-30.1811,-50.2056,Hotel Castelo
67,Carnarvon,AU,75.29,few clouds,-24.8667,113.6333,Hospitality Carnarvon
68,Viedma,AR,77.34,scattered clouds,-40.8135,-62.9967,Hotel Cristal
70,Kecsked,HU,66.11,broken clouds,47.523,18.3094,Patakparti Vendégház
74,Shaoxing,CN,67.95,overcast clouds,30.011,120.5715,Holiday Inn Shaoxing
75,Ponta Do Sol,PT,69.12,broken clouds,32.6667,-17.1,Hotel do Campo
