City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Ossora,59.2353,163.0719,35.08,overcast clouds,86,100,10.92,RU
1,Ateptsevo,55.3236,36.75,57.61,broken clouds,81,84,7.09,RU
2,Babushkin,51.7122,105.8647,45.46,clear sky,76,3,6.44,RU
3,Tupelo,34.2576,-88.7034,72.99,broken clouds,60,75,13.8,US
4,Rikitea,-23.1203,-134.9692,77.47,broken clouds,83,67,11.03,PF
5,Sucua,-2.4667,-78.1667,80.76,light rain,71,75,4.23,EC
6,Altay,47.8667,88.1167,59.49,broken clouds,50,74,4.7,CN
7,Kapaa,22.0752,-159.319,75.18,overcast clouds,83,96,5.01,US
8,Hasaki,35.7333,140.8333,61.2,overcast clouds,90,100,7.14,JP
9,Saint-Philippe,-21.3585,55.7679,72.99,scattered clouds,83,40,12.68,RE
10,Namatanai,-3.6667,152.4333,79.34,broken clouds,84,62,8.16,PG
11,Hermanus,-34.4187,19.2345,55.8,few clouds,74,18,8.63,ZA
12,Nuuk,64.1835,-51.7216,34.41,clear sky,69,0,12.66,GL
13,Salalah,17.0151,54.0924,81.14,clear sky,80,2,6.71,OM
14,Tasiilaq,65.6145,-37.6368,32.16,overcast clouds,70,94,5.66,GL
15,La Ronge,55.1001,-105.2842,54.52,broken clouds,47,52,2.21,CA
16,Stroud,51.75,-2.2,66.16,scattered clouds,50,33,4.85,GB
17,Newport,51.5877,-2.9984,66.31,broken clouds,66,81,3.44,GB
18,Nelson Bay,-32.7167,152.15,53.01,overcast clouds,79,94,13.22,AU
19,Busselton,-33.65,115.3333,58.3,light rain,70,61,1.79,AU
20,Arkhangelskoye,55.8549,35.3287,50.27,overcast clouds,72,94,10.04,RU
21,Punta Arenas,-53.15,-70.9167,51.12,scattered clouds,71,41,25.79,CL
22,Port Elizabeth,-33.918,25.5701,60.31,overcast clouds,85,100,1.99,ZA
23,Qaanaaq,77.484,-69.3632,19.58,overcast clouds,73,99,1.83,GL
24,Bluff,-46.6,168.3333,57.79,moderate rain,81,89,7.18,NZ
25,Higashine,38.4389,140.4006,49.89,overcast clouds,95,94,6.85,JP
26,Castro,-24.7911,-50.0119,66.15,scattered clouds,46,35,4.56,BR
27,Mahebourg,-20.4081,57.7,78.26,scattered clouds,88,40,9.22,MU
28,Tonj,7.2737,28.6822,81.72,overcast clouds,62,87,5.39,SS
29,Ushuaia,-54.8,-68.3,55.06,few clouds,47,20,16.11,AR
30,Tuktoyaktuk,69.4541,-133.0374,30.24,overcast clouds,89,100,7.36,CA
31,Mar Del Plata,-38.0023,-57.5575,73.42,clear sky,62,0,23.02,AR
32,Cherskiy,68.75,161.3,27.12,overcast clouds,95,98,2.21,RU
33,Talnakh,69.4865,88.3972,7.5,scattered clouds,80,28,14.74,RU
34,Noumea,-22.2763,166.4572,75.0,broken clouds,99,78,9.01,NC
35,Port-Cartier,50.0334,-66.8654,44.82,few clouds,57,17,4.81,CA
36,Hilo,19.7297,-155.09,83.28,light rain,91,100,4.61,US
37,Atuona,-9.8,-139.0333,78.46,scattered clouds,73,30,17.16,PF
38,Bredasdorp,-34.5322,20.0403,54.86,clear sky,83,8,4.47,ZA
39,Beloha,-25.1667,45.05,69.6,light rain,88,32,4.14,MG
40,Port Alfred,-33.5906,26.891,64.18,overcast clouds,85,87,1.99,ZA
41,Flinders,-34.5833,150.8552,57.18,clear sky,59,0,10.0,AU
42,Puerto Ayora,-0.7393,-90.3518,75.29,scattered clouds,80,38,9.69,EC
43,Mbarara,-0.608,30.65,63.55,scattered clouds,89,42,3.38,UG
44,Cabo San Lucas,22.8909,-109.9124,88.61,clear sky,57,0,6.73,MX
45,Kavaratti,10.5669,72.642,84.67,few clouds,71,20,11.01,IN
46,Iquique,-20.2208,-70.1431,67.01,scattered clouds,69,42,5.26,CL
47,Khatanga,71.9667,102.5,-9.0,scattered clouds,100,33,4.76,RU
48,Arraial Do Cabo,-22.9661,-42.0278,75.16,few clouds,69,13,13.4,BR
49,Stryn,61.9045,6.7226,45.32,broken clouds,71,84,3.62,NO
